Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0.38095238095238093,0.0,0.7199140401146131,2.0,0.2857142857142857,4.0,4.0,1.0,0.0,0.3142857142857143,3.0,1.0,8.0,3.0,1.0,0.09125855713533439,0.039269223047580806,1.0,1.0,0.2857142857142857,3.0,4.0,0.0,0.05,0.0,3.0,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941
0.7380952380952381,0.0,0.14255014326647564,1.0,0.75,4.0,1.0,1.0,0.0,0.6,3.0,4.0,7.0,2.0,1.0,0.8111637704054766,0.05637422204376631,3.0,1.0,0.35714285714285715,3.0,2.0,2.0,0.675,2.0,3.0,0.1,0.1111111111111111,0.06666666666666667,0.11764705882352941
0.07142857142857142,0.0,0.9491404011461319,1.0,0.6071428571428571,1.0,1.0,4.0,0.0,0.5,3.0,1.0,1.0,4.0,0.0,0.08867825171142707,0.27207388074683797,1.0,1.0,0.5714285714285714,3.0,1.0,0.0,0.025,3.0,2.0,0.025,0.0,0.0,0.0
0.6904761904761905,2.0,0.3159025787965616,0.0,0.03571428571428571,4.0,3.0,3.0,1.0,0.8142857142857143,3.0,2.0,0.0,2.0,1.0,0.20900473933649288,0.0579000200762899,7.0,1.0,0.0,3.0,4.0,1.0,0.1,3.0,1.0,0.025,0.0,0.0,0.0
0.19047619047619047,0.0,0.8932664756446992,1.0,0.7857142857142857,3.0,0.0,1.0,0.0,0.8571428571428571,3.0,1.0,1.0,4.0,2.0,0.09884149552395997,0.03766311985545071,1.0,1.0,0.7857142857142857,4.0,2.0,2.0,0.075,3.0,1.0,0.075,0.1111111111111111,0.0,0.11764705882352941
0.5952380952380952,1.0,0.22922636103151864,1.0,0.0,3.0,0.0,4.0,0.0,0.04285714285714286,3.0,2.0,4.0,4.0,1.0,0.2397577672459189,0.7905239911664325,4.0,1.0,0.14285714285714285,3.0,2.0,1.0,0.3,2.0,2.0,0.125,0.1111111111111111,0.13333333333333333,0.11764705882352941
0.7619047619047619,0.0,0.22063037249283668,0.0,0.9642857142857143,3.0,3.0,4.0,1.0,0.12857142857142856,2.0,3.0,0.0,1.0,2.0,0.5184307530279094,0.5818911865087332,4.0,0.0,0.14285714285714285,3.0,2.0,1.0,0.5,3.0,3.0,0.075,0.1111111111111111,0.13333333333333333,0.0
0.2619047619047619,0.0,0.9083094555873925,1.0,0.07142857142857142,1.0,2.0,2.0,1.0,0.8142857142857143,3.0,1.0,2.0,1.0,0.0,0.19557661927330175,0.56691427424212,1.0,0.0,0.5,3.0,4.0,0.0,0.25,3.0,3.0,0.25,0.5,0.06666666666666667,0.29411764705882354
0.8333333333333334,0.0,0.9126074498567335,0.0,0.03571428571428571,2.0,2.0,3.0,1.0,0.21428571428571427,3.0,4.0,5.0,3.0,2.0,0.7289626119010005,0.4755671551897209,6.0,1.0,0.14285714285714285,3.0,3.0,1.0,0.55,3.0,4.0,0.425,0.7222222222222222,1.0,0.11764705882352941
0.30952380952380953,0.0,0.0830945558739255,0.0,0.21428571428571427,3.0,4.0,2.0,1.0,1.0,4.0,2.0,0.0,4.0,1.0,0.31174302264349657,0.40742822726360167,4.0,1.0,0.0,3.0,2.0,1.0,0.25,3.0,2.0,0.2,0.3888888888888889,0.4666666666666667,0.4117647058823529
0.9047619047619048,0.0,0.9075931232091691,1.0,0.7857142857142857,3.0,0.0,4.0,1.0,0.5428571428571428,3.0,4.0,3.0,2.0,1.0,0.6526066350710901,0.6481027906042963,4.0,0.0,0.07142857142857142,3.0,1.0,1.0,0.825,0.0,3.0,0.475,0.8888888888888888,1.0,0.5294117647058824
0.07142857142857142,0.0,0.1683381088825215,0.0,0.21428571428571427,1.0,3.0,2.0,1.0,0.014285714285714285,3.0,1.0,6.0,2.0,0.0,0.08794102159031068,0.09929732985344308,1.0,1.0,0.14285714285714285,3.0,2.0,0.0,0.025,3.0,3.0,0.025,0.0,0.06666666666666667,0.0
0.40476190476190477,0.0,0.8409742120343839,1.0,0.5357142857142857,3.0,0.0,4.0,1.0,0.6,3.0,3.0,4.0,3.0,1.0,0.3487625065824118,0.489901626179482,4.0,0.0,0.07142857142857142,3.0,3.0,0.0,0.25,2.0,3.0,0.2,0.3888888888888889,0.0,0.0
0.30952380952380953,0.0,0.16045845272206305,0.0,0.25,2.0,0.0,1.0,1.0,0.014285714285714285,3.0,3.0,0.0,4.0,2.0,0.5152185360716166,0.2526400321220638,1.0,1.0,0.5,3.0,1.0,1.0,0.325,5.0,3.0,0.325,0.3888888888888889,0.6,0.5294117647058824
0.047619047619047616,0.0,0.019340974212034383,1.0,0.10714285714285714,3.0,4.0,1.0,1.0,0.7714285714285715,3.0,1.0,2.0,1.0,0.0,0.10342285413375461,0.43822525597269624,1.0,1.0,0.5714285714285714,3.0,2.0,0.0,0.025,2.0,3.0,0.025,0.0,0.0,0.0
0.5,0.0,0.027936962750716332,2.0,0.07142857142857142,3.0,5.0,3.0,0.0,0.2,4.0,2.0,8.0,2.0,1.0,0.2833070036861506,0.6694639630596266,9.0,1.0,0.2857142857142857,3.0,3.0,1.0,0.3,3.0,1.0,0.2,0.16666666666666666,0.2,0.35294117647058826
0.30952380952380953,1.0,0.7328080229226361,1.0,0.0,3.0,0.0,4.0,1.0,0.2571428571428571,1.0,2.0,1.0,1.0,1.0,0.21032122169562928,0.14764103593655892,1.0,1.0,0.7142857142857143,4.0,2.0,0.0,0.25,6.0,3.0,0.25,0.4444444444444444,0.5333333333333333,0.4117647058823529
0.23809523809523808,0.0,0.16260744985673353,1.0,0.8214285714285714,3.0,2.0,3.0,1.0,0.3,3.0,1.0,2.0,2.0,1.0,0.07367035281727224,0.20999799237100983,1.0,0.0,0.42857142857142855,3.0,3.0,3.0,0.025,3.0,3.0,0.025,0.05555555555555555,0.0,0.0
0.8809523809523809,0.0,0.9591690544412608,1.0,0.75,3.0,4.0,1.0,1.0,0.9142857142857143,2.0,1.0,1.0,2.0,2.0,0.13312269615587152,0.8690222846817908,5.0,1.0,0.07142857142857142,3.0,4.0,1.0,0.2,1.0,3.0,0.1,0.1111111111111111,0.06666666666666667,0.11764705882352941
0.5238095238095238,0.0,0.5601719197707736,1.0,0.5,3.0,0.0,1.0,0.0,0.7142857142857143,2.0,3.0,3.0,3.0,1.0,0.49636650868878357,0.9518570568159004,1.0,1.0,0.14285714285714285,3.0,4.0,2.0,0.45,2.0,3.0,0.45,0.8333333333333334,0.9333333333333333,0.7058823529411765
0.5,2.0,0.9906876790830945,1.0,0.8571428571428571,2.0,0.0,3.0,1.0,0.5857142857142857,3.0,3.0,4.0,3.0,1.0,0.5219062664560294,0.054406745633406944,3.0,1.0,0.7142857142857143,4.0,2.0,1.0,0.325,2.0,3.0,0.15,0.2222222222222222,0.0,0.29411764705882354
0.2619047619047619,0.0,0.17765042979942694,2.0,0.42857142857142855,3.0,5.0,1.0,1.0,0.37142857142857144,2.0,1.0,8.0,1.0,2.0,0.06982622432859399,0.04268219233085726,4.0,0.0,0.2857142857142857,3.0,4.0,3.0,0.1,3.0,3.0,0.05,0.1111111111111111,0.13333333333333333,0.0
0.38095238095238093,0.0,0.07306590257879657,0.0,0.4642857142857143,3.0,4.0,3.0,0.0,0.014285714285714285,3.0,1.0,6.0,3.0,2.0,0.08267509215376515,0.03284481027906043,1.0,0.0,0.5,3.0,4.0,2.0,0.2,3.0,3.0,0.2,0.1111111111111111,0.0,0.35294117647058826
